series_id,description
JTS000000220000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000JOR,"Job openings, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000QUL,"Quits, Level - In Thousands, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000QUR,"Quits, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000TSR,"Total separations, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000230000000HIL,"Hires, Level - In Thousands, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000HIR,"Hires, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000JOR,"Job openings, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000QUL,"Quits, Level - In Thousands, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000QUR,"Quits, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000TSR,"Total separations, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000230000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Maine, All size classes, Seasonally Adjusted"
JTS000000240000000HIL,"Hires, Level - In Thousands, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000HIR,"Hires, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000JOR,"Job openings, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000QUL,"Quits, Level - In Thousands, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000QUR,"Quits, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000TSR,"Total separations, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000240000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Maryland, All size classes, Seasonally Adjusted"
JTS000000250000000HIL,"Hires, Level - In Thousands, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
JTS000000250000000HIR,"Hires, Rate, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
JTS000000250000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
JTS000000250000000JOR,"Job openings, Rate, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
JTS000000250000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
JTS000000250000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Massachusetts, All size classes, Seasonally Adjusted"
