series_id,description
PCU23640023640011,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, Northeast, not seasonally adjusted"
PCU23640023640012,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, South, not seasonally adjusted"
PCU23640023640013,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, Midwest, not seasonally adjusted"
PCU23640023640014,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, West, not seasonally adjusted"
PCU236400236400221,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, not seasonally adjusted"
PCU2364002364002211,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, Northeast, not seasonally adjusted"
PCU2364002364002212,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, South, not seasonally adjusted"
PCU2364002364002213,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, Midwest, not seasonally adjusted"
PCU2364002364002214,"PPI industry data for New nonresidential building construction by contractor type/region-Plumbing, heating, and air conditioning contractors, West, not seasonally adjusted"
PCU236400236400222,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, not seasonally adjusted"
PCU2364002364002221,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, northeast, not seasonally adjusted"
PCU2364002364002222,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, South, not seasonally adjusted"
PCU2364002364002223,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, Midwest, not seasonally adjusted"
PCU2364002364002224,"PPI industry data for New nonresidential building construction by contractor type/region-Electrical contractors, West, not seasonally adjusted"
PCU236400236400223,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, not seasonally adjusted"
PCU2364002364002231,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, Northeast, not seasonally adjusted"
PCU2364002364002232,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, South, not seasonally adjusted"
PCU2364002364002233,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, Midwest, not seasonally adjusted"
PCU2364002364002234,"PPI industry data for New nonresidential building construction by contractor type/region-Roofing contractors, West, not seasonally adjusted"
PCU236400236400224,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, not seasonally adjusted"
PCU2364002364002241,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, Northeast, not seasonally adjusted"
PCU2364002364002242,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, South, not seasonally adjusted"
PCU2364002364002243,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, Midwest, not seasonally adjusted"
PCU2364002364002244,"PPI industry data for New nonresidential building construction by contractor type/region-Poured concrete foundation and structure contractors, West, not seasonally adjusted"
PCU236500236500,"PPI industry data for New nonresidential building construction by region, not seasonally adjusted"
PCU2365002365001,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, Northeast, not seasonally adjusted"
PCU2365002365002,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, South, not seasonally adjusted"
PCU2365002365003,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, Midwest, not seasonally adjusted"
PCU2365002365004,"PPI industry data for New nonresidential building construction by region-New nonresidential building construction, West, not seasonally adjusted"
PCU23811X23811X,"PPI industry data for Concrete contractors, nonresidential building work, not seasonally adjusted"
PCU23811X23811XP,"PPI industry data for Concrete contractors, nonresidential building work-Primary products, not seasonally adjusted"
PCU23816X23816X,"PPI industry data for Roofing contractors, nonresidential building work, not seasonally adjusted"
PCU23816X23816XP,"PPI industry data for Roofing contractors, nonresidential building work-Primary products, not seasonally adjusted"
PCU2381MR2381MR,"PPI industry data for Nonresidential building maintenance & repair, not seasonally adjusted"
PCU23821X23821X,"PPI industry data for Electrical contractors, nonresidential building work, not seasonally adjusted"
PCU23821X23821XP,"PPI industry data for Electrical contractors, nonresidential building work-Primary products, not seasonally adjusted"
PCU23822X23822X,"PPI industry data for Plumbing, heating and air-conditioning contractors, nonresidential building work, not seasonally adjusted"
PCU23822X23822XP,"PPI industry data for Plumbing, heating and air-conditioning contractors, nonresidential building work-Primary products, not seasonally adjusted"
PCU311---311---,"PPI industry sub-sector data for Food mfg, not seasonally adjusted"
PCU3111--3111--,"PPI industry group data for Animal food mfg, not seasonally adjusted"
PCU31111-31111-,"PPI industry data for Animal food mfg, not seasonally adjusted"
PCU311111311111,"PPI industry data for Dog and cat food manufacturing, not seasonally adjusted"
PCU3111113111111,"PPI industry data for Dog and cat food manufacturing-Dog food, not seasonally adjusted"
PCU31111131111111,"PPI industry data for Dog and cat food manufacturing-Canned dog food, not seasonally adjusted"
PCU31111131111114,"PPI industry data for Dog and cat food manufacturing-Dry and semi moist dog food, not seasonally adjusted"
PCU3111113111114,"PPI industry data for Dog and cat food manufacturing-Cat food, not seasonally adjusted"
PCU31111131111144,"PPI industry data for Dog and cat food manufacturing-Canned cat food, not seasonally adjusted"
PCU31111131111145,"PPI industry data for Dog and cat food manufacturing-Dry and semi moist cat food, not seasonally adjusted"
PCU311111311111M1,"PPI industry data for Dog and cat food manufacturing-Miscellaneous receipts, not seasonally adjusted"
PCU311111311111P,"PPI industry data for Dog and cat food manufacturing-Primary products, not seasonally adjusted"
PCU311111311111S,"PPI industry data for Dog and cat food manufacturing-Secondary products, not seasonally adjusted"
PCU311119311119,"PPI industry data for Other animal food manufacturing, not seasonally adjusted"
PCU3111193111191,"PPI industry data for Other animal food manufacturing-Chicken and turkey feed, supplements, concentrates, and premixes, not seasonally adjusted"
PCU3111193111195,"PPI industry data for Other animal food manufacturing-Complete dairy cattle feed, supplements, concentrates, and premixes, not seasonally adjusted"
PCU3111193111199,"PPI industry data for Other animal food manufacturing-Other prepared animal feeds, including feeding materials and adjuncts, not seasonally adjusted"
PCU311119311119B,"PPI industry data for Other animal food manufacturing-Complete swine feed, supplements, concentrates, and premixes, not seasonally adjusted"
PCU311119311119H,"PPI industry data for Other animal food manufacturing-Complete beef cattle feed, supplements, concentrates, and premixes, not seasonally adjusted"
PCU311119311119M,"PPI industry data for Other animal food manufacturing-Miscellaneous receipts, not seasonally adjusted"
PCU311119311119MM,"PPI industry data for Other animal food manufacturing-Miscellaneous receipts, not seasonally adjusted"
PCU311119311119N,"PPI industry data for Other animal food manufacturing-Poultry, exc. chicken and turkey, and livestock, exc. cattle and swine, feed, not seasonally adjusted"
PCU311119311119P,"PPI industry data for Other animal food manufacturing-Primary products, not seasonally adjusted"
PCU311119311119R,"PPI industry data for Other animal food manufacturing-Pet (excluding dog and cat), laboratory, and fur animal feed, not seasonally adjusted"
PCU311119311119S,"PPI industry data for Other animal food manufacturing-Secondary products, not seasonally adjusted"
PCU311119311119SM,"PPI industry data for Other animal food manufacturing-Secondary products and miscellaneous receipts, not seasonally adjusted"
PCU3112--3112--,"PPI industry group data for Grain & oilseed milling, not seasonally adjusted"
PCU31121-31121-,"PPI industry data for Flour milling & malt mfg, not seasonally adjusted"
PCU311211311211,"PPI industry data for Flour milling, not seasonally adjusted"
PCU3112113112111,"PPI industry data for Flour milling-Wheat flour (except flour mixes), made in flour mills, not seasonally adjusted"
PCU3112113112114,"PPI industry data for Flour milling-Wheat mill products, except flour, not seasonally adjusted"
PCU3112113112117,"PPI industry data for Flour milling-Corn mill products, not seasonally adjusted"
PCU3112113112119,"PPI industry data for Flour milling-Other grain mill products, not seasonally adjusted"
PCU311211311211A,"PPI industry data for Flour milling-Prepared flour mixes, including refrigerated and frozen doughs and batters, made in flour mills, not seasonally adjusted"
PCU311211311211M,"PPI industry data for Flour milling-Miscellaneous receipts, not seasonally adjusted"
PCU311211311211P,"PPI industry data for Flour milling-Primary products, not seasonally adjusted"
PCU311211311211S,"PPI industry data for Flour milling-Secondary products, not seasonally adjusted"
PCU311211311211SS,"PPI industry data for Flour milling-Secondary products, not seasonally adjusted"
PCU311212311212,"PPI industry data for Rice milling, not seasonally adjusted"
PCU3112123112120,"PPI industry data for Rice milling-Milled rice and byproducts, not seasonally adjusted"
PCU31121231121204,"PPI industry data for Rice milling-Milled rice (incl second heads, screenings, brewers, bran, sharps, rice flour, and  byproducts), not seasonally adjusted"
PCU31121231121206,"PPI industry data for Rice milling-Head rice not packaged with other ingredients, not seasonally adjusted"
PCU311212311212P,"PPI industry data for Rice milling-Primary products, not seasonally adjusted"
PCU31122-31122-,"PPI industry data for Starch & vegetable fats & oils mfg, not seasonally adjusted"
PCU311221311221,"PPI industry data for Wet corn milling and starch manufacturing, not seasonally adjusted"
PCU3112213112211,"PPI industry data for Wet corn milling and starch manufacturing-Corn sweeteners, made by wet milling, not seasonally adjusted"
PCU3112213112214,"PPI industry data for Wet corn milling and starch manufacturing-Manufactured starch, made by wet milling, not seasonally adjusted"
PCU3112213112218,"PPI industry data for Wet corn milling and starch manufacturing-Corn oil, made by wet milling, not seasonally adjusted"
PCU311221311221A,"PPI industry data for Wet corn milling and starch manufacturing-Wet process corn byproducts, not seasonally adjusted"
PCU311221311221P,"PPI industry data for Wet corn milling and starch manufacturing-Primary products, not seasonally adjusted"
