series_id,description
LASST720000000000004,Unemployment: Puerto Rico (S)
LASST720000000000005,Employment: Puerto Rico (S)
LASST720000000000006,Labor Force: Puerto Rico (S)
LAUBS060000000000003,"Unemployment Rate: Balance of California, state less Los Angeles-Long Beach-Glendale MD (U)"
LAUBS060000000000004,"Unemployment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (U)"
LAUBS060000000000005,"Employment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (U)"
LAUBS060000000000006,"Labor Force: Balance of California, state less Los Angeles-Long Beach-Glendale MD (U)"
LAUBS120000000000003,"Unemployment Rate: Balance of Florida, state less Miami-Miami Beach-Kendall MD (U)"
LAUBS120000000000004,"Unemployment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (U)"
LAUBS120000000000005,"Employment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (U)"
LAUBS120000000000006,"Labor Force: Balance of Florida, state less Miami-Miami Beach-Kendall MD (U)"
LAUBS170000000000003,"Unemployment Rate: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (U)"
LAUBS170000000000004,"Unemployment: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (U)"
LAUBS170000000000005,"Employment: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (U)"
LAUBS170000000000006,"Labor Force: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (U)"
LAUBS260000000000003,"Unemployment Rate: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (U)"
LAUBS260000000000004,"Unemployment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (U)"
LAUBS260000000000005,"Employment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (U)"
LAUBS260000000000006,"Labor Force: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (U)"
LAUBS360000000000003,"Unemployment Rate: Balance of New York, state less New York city (U)"
LAUBS360000000000004,"Unemployment: Balance of New York, state less New York city (U)"
LAUBS360000000000005,"Employment: Balance of New York, state less New York city (U)"
LAUBS360000000000006,"Labor Force: Balance of New York, state less New York city (U)"
LAUBS390000000000003,"Unemployment Rate: Balance of Ohio, state less Cleveland MSA (U)"
LAUBS390000000000004,"Unemployment: Balance of Ohio, state less Cleveland MSA (U)"
LAUBS390000000000005,"Employment: Balance of Ohio, state less Cleveland MSA (U)"
LAUBS390000000000006,"Labor Force: Balance of Ohio, state less Cleveland MSA (U)"
LAUBS530000000000003,"Unemployment Rate: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (U)"
LAUBS530000000000004,"Unemployment: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (U)"
LAUBS530000000000005,"Employment: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (U)"
LAUBS530000000000006,"Labor Force: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (U)"
LAUCA011420000000003,"Unemployment Rate: Birmingham-Cullman-Talladega, AL Combined Statistical Area (U)"
LAUCA011420000000004,"Unemployment: Birmingham-Cullman-Talladega, AL Combined Statistical Area (U)"
LAUCA011420000000005,"Employment: Birmingham-Cullman-Talladega, AL Combined Statistical Area (U)"
LAUCA011420000000006,"Labor Force: Birmingham-Cullman-Talladega, AL Combined Statistical Area (U)"
LAUCA011940000000003,"Unemployment Rate: Columbus-Auburn-Opelika, GA-AL Combined Statistical Area (U)"
LAUCA011940000000004,"Unemployment: Columbus-Auburn-Opelika, GA-AL Combined Statistical Area (U)"
LAUCA011940000000005,"Employment: Columbus-Auburn-Opelika, GA-AL Combined Statistical Area (U)"
LAUCA011940000000006,"Labor Force: Columbus-Auburn-Opelika, GA-AL Combined Statistical Area (U)"
LAUCA012220000000003,"Unemployment Rate: Dothan-Enterprise-Ozark, AL Combined Statistical Area (U)"
LAUCA012220000000004,"Unemployment: Dothan-Enterprise-Ozark, AL Combined Statistical Area (U)"
LAUCA012220000000005,"Employment: Dothan-Enterprise-Ozark, AL Combined Statistical Area (U)"
LAUCA012220000000006,"Labor Force: Dothan-Enterprise-Ozark, AL Combined Statistical Area (U)"
LAUCA012500000000003,"Unemployment Rate: Florence-Muscle Shoals-Russellville, AL Combined Statistical Area (U)"
