series_id,description
CIS2033211000000Q,"Total benefits for Private industry workers in Aircraft manufacturing, 3-month percent change"
CIS203G000000000I,"Total benefits for private industry workers in the goods-producing industries, current dollar index"
CIS203G000000000Q,"Total benefits for private industry workers in the goods-producing industries, 3-month percent change, current dollars"
CIS203S000000000I,"Total benefits for private industry workers in the service-providing industries, current dollar index"
CIS203S000000000Q,"Total benefits for private industry workers in the service-providing industries, 3-month percent change, current dollars"
CIS3010000000000I,"Total compensation for all state and local government workers, current dollar index"
CIS3010000000000Q,"Total compensation for all state and local government workers, 3-month percent change, current dollars"
CIS3016000000000I,"Total compensation for state and local government workers in the education and health services industry, current dollar index"
CIS3016000000000Q,"Total compensation for state and local government workers in the education and health services industry, 3-month percent change, current dollars"
CIS3016100000000I,"Total compensation for state and local government workers in the educational services industry, current dollar index"
CIS3016100000000Q,"Total compensation for state and local government workers in the educational services industry, 3-month percent change, current dollars"
CIS3016105000000I,"Total compensation for state and local government workers in the schools industry, current dollar index"
CIS3016105000000Q,"Total compensation for state and local government workers in the schools industry, 3-month percent change, current dollars"
CIS3016110000000I,"Total compensation for state and local government workers in the elementary and secondary schools industry, current dollar index"
CIS3016110000000Q,"Total compensation for state and local government workers in the elementary and secondary schools industry, 3-month percent change, current dollars"
CIS3016200000000I,"Total compensation for state and local government workers in the health care and social assistance industry, current dollar index"
CIS3016200000000Q,"Total compensation for state and local government workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS3016220000000I,"Total compensation for state and local government workers in the hospitals industry, current dollar index"
CIS3016220000000Q,"Total compensation for state and local government workers in the hospitals industry, 3-month percent change, current dollars"
CIS3019200000000I,"Total compensation for state and local government workers in the public administration industry, current dollar index"
CIS3019200000000Q,"Total compensation for state and local government workers in the public administration industry, 3-month percent change, current dollars"
CIS3020000000000I,"Wages and salaries for all state and local government workers, current dollar index"
CIS3020000000000Q,"Wages and salaries for all state and local government workers, 3-month percent change, current dollars"
CIS3026000000000I,"Wages and salaries for state and local government workers in the education and health services industry, current dollar index"
CIS3026000000000Q,"Wages and salaries for state and local government workers in the education and health services industry, 3-month percent change, current dollars"
CIS3026100000000I,"Wages and salaries for state and local government workers in the educational services industry, current dollar index"
CIS3026100000000Q,"Wages and salaries for state and local government workers in the educational services industry, 3-month percent change, current dollars"
CIS3026105000000I,"Wages and salaries for state and local government workers in the schools industry, current dollar index"
CIS3026105000000Q,"Wages and salaries for state and local government workers in the schools industry, 3-month percent change, current dollars"
CIS3026110000000I,"Wages and salaries for state and local government workers in the elementary and secondary schools industry, current dollar index"
CIS3026110000000Q,"Wages and salaries for state and local government workers in the elementary and secondary schools industry, 3-month percent change, current dollars"
CIS3026200000000I,"Wages and salaries for state and local government workers in the health care and social assistance industry, current dollar index"
CIS3026200000000Q,"Wages and salaries for state and local government workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS3026220000000I,"Wages and salaries for state and local government workers in the hospitals industry, current dollar index"
CIS3026220000000Q,"Wages and salaries for state and local government workers in the hospitals industry, 3-month percent change, current dollars"
CIS3029200000000I,"Wages and salaries for state and local government workers in the public administration industry, current dollar index"
CIS3029200000000Q,"Wages and salaries for state and local government workers in the public administration industry, 3-month percent change, current dollars"
CIS3030000000000I,"Total benefits for all state and local government workers, current dollar index"
CIS3030000000000Q,"Total benefits for all state and local government workers, 3-month percent change, current dollars"
CIU1010000000000A,"Total compensation for all civilian workers, 12-month percent change, current dollars"
CIU1010000000000I,"Total compensation for all civilian workers, current dollar index"
CIU1010000000000P,Usable rate at update
CIU1010000000000Q,"Total compensation for all civilian workers, 3-month percent change, current dollars"
CIU1010000000000R,Usable rate at inititaion
CIU1010000000000S,Survery response rate
CIU1010000000000T,"Total compensation for all civilian workers, constant dollar index"
CIU1010000000000X,"Total compensation for all civilian workers, 3-month percent change, constant dollars"
CIU1010000000000Z,"Total compensation for all civilian workers, 12-month percent change, constant dollars"
CIU1010000000710A,"Total compensation for civilian workers, excluding incentive-paid occupations, 12-month percent change, current dollars"
CIU1010000000710I,"Total compensation for civilian workers, excluding incentive-paid occupations, current dollar index"
CIU1010000000710Q,"Total compensation for civilian workers, excluding incentive-paid occupations, 3-month percent change, current dollars"
CIU1010000000710T,"Total compensation for all civilian workers, excluding incentive-paid occupations, constant dollar index"
CIU1010000000710X,"Total compensation for all civilian workers, excluding incentive-paid occupations, 3-month percent change, constant dollars"
